City,Country,Lat,Long,Temp,Feel Like,Wind Speed,Humidity,Cloud %
Bredasdorp,ZA,-34.53,20.04,46.4,41.47,5.82,87,56
Qaanaaq,GL,77.48,-69.36,12.69,2.03,8.34,78,64
Stornoway,GB,58.21,-6.39,40.78,34.39,7.67,100,60
Bandarbeyla,SO,9.49,50.81,80.08,77.9,17.98,73,50
Alice Springs,AU,-23.7,133.88,84.2,66.4,23.04,10,75
Rehoboth,NA,-23.32,17.08,43.75,35.87,6.11,48,0
Naze,JP,28.37,129.48,81.52,82.02,11.41,65,75
Tiksi,RU,71.69,128.87,36.59,23.11,17.05,76,15
Tuktoyaktuk,CA,69.45,-133.04,35.6,25.86,11.41,93,90
Nizhniy Baskunchak,RU,48.22,46.83,59.36,48.45,12.75,34,18
Atuona,PF,-9.8,-139.03,77.97,76.05,16.44,75,8
Hithadhoo,MV,-0.6,73.08,83.95,87.87,8.63,68,53
Eureka,US,40.8,-124.16,63.68,64.26,4.41,86,0
Saint George,US,37.1,-113.58,71.94,56.46,18.34,13,1
Tasiilaq,GL,65.61,-37.64,30.2,24.21,3.36,92,71
Half Moon Bay,US,37.46,-122.43,67.28,67.93,3.36,72,5
Lermontovka,RU,47.15,134.34,58.93,52.43,9.69,61,25
Novobirilyussy,RU,56.95,90.67,35.31,26.56,9.73,95,100
Cayenne,GF,4.93,-52.33,77.0,82.24,9.24,94,90
Vila Franca do Campo,PT,37.72,-25.43,68.0,66.36,10.29,82,20
San Quintín,MX,30.48,-115.95,72.43,71.42,9.04,70,0
Chui,UY,-33.7,-53.46,48.02,43.77,5.21,87,0
Grand Gaube,MU,-20.01,57.66,75.99,75.47,11.01,71,95
Arlit,NE,18.74,7.39,89.4,82.36,6.17,13,16
Ocosingo,MX,17.07,-92.25,63.88,66.65,2.75,96,78
Lüderitz,NA,-26.65,15.16,54.91,42.94,15.75,47,0
Katsuura,JP,35.13,140.3,71.58,64.71,17.22,64,75
Bulgan,MN,48.81,103.53,52.29,45.68,5.28,45,6
San Miguel de Cozumel,MX,20.51,-86.95,82.99,92.48,4.0,83,1
Khatanga,RU,71.97,102.5,32.86,21.49,13.33,89,100
Riyadh,SA,24.69,46.72,78.8,73.08,6.93,27,0
El Alto,PE,-4.27,-81.21,61.95,55.71,15.05,84,80
Hilo,US,19.73,-155.09,74.66,75.52,6.93,69,20
Gorin,RU,51.2,136.67,59.83,50.95,10.54,41,33
Auki,SB,-8.77,160.7,81.61,87.75,5.37,75,94
Sainte-Marie,RE,-20.9,55.55,75.2,68.34,19.46,64,90
Mossamedes,AO,-15.2,12.15,61.97,62.74,3.4,88,100
Nelson Bay,AU,-32.72,152.15,66.67,58.93,13.87,55,40
Morant Bay,JM,17.88,-76.41,79.43,83.35,6.93,74,20
Shaoguan,CN,24.8,113.58,84.49,93.56,1.28,71,94
Qingdao,CN,36.1,120.37,77.0,75.4,6.71,50,20
Cape Town,ZA,-33.93,18.42,49.1,46.56,3.36,93,40
Nizhnyaya Tavda,RU,57.67,66.17,43.81,38.34,4.0,69,76
Kruisfontein,ZA,-34.0,24.73,53.01,49.82,3.0,70,8
Barrow,US,71.29,-156.79,32.0,23.74,8.05,96,90
Amahai,ID,-3.33,128.92,84.29,89.22,7.18,68,50
Creel,MX,27.75,-107.63,49.32,43.99,5.88,73,1
Hong Kong,HK,22.29,114.16,81.7,86.5,12.1,86,94
Ponta do Sol,PT,32.67,-17.1,65.73,62.62,11.41,82,75
Awjilah,LY,29.11,21.29,82.63,75.79,8.57,23,0
Okakarara,NA,-20.58,17.43,51.82,45.34,3.56,35,0
Geraldton,AU,-28.77,114.6,69.8,63.66,12.75,56,0
Port Blair,IN,11.67,92.75,79.88,78.94,20.38,86,100
Necochea,AR,-38.55,-58.74,46.0,43.45,1.99,92,36
Kavieng,PG,-2.57,150.8,84.02,89.28,6.78,69,35
Husavik,IS,66.04,-17.34,35.6,26.76,8.05,69,90
Albany,US,42.6,-73.97,67.57,71.55,1.01,86,2
Mezen',RU,65.85,44.24,46.83,41.74,6.49,89,26
Provideniya,RU,64.38,-173.3,41.0,36.9,2.24,84,75
Mahébourg,MU,-20.41,57.7,75.2,76.62,9.17,78,75
Merauke,ID,-8.47,140.33,83.23,82.06,19.51,74,75
Chernyshevskiy,RU,63.01,112.47,33.71,22.6,12.66,83,95
Feldkirchen-Westerham,DE,47.91,11.84,44.49,39.27,4.05,72,93
Bluff,NZ,-46.6,168.33,39.0,23.7,21.0,78,99
Bonthe,SL,7.53,-12.51,76.42,83.1,4.79,90,100
Saint-Pierre,RE,-21.34,55.48,75.2,77.54,4.7,69,11
Tūkrah,LY,32.53,20.58,76.17,76.42,14.32,85,1
Pringsewu,ID,-5.36,104.97,84.9,92.48,3.49,69,22
Vanimo,PG,-2.67,141.3,86.14,90.72,8.21,65,68
Esperance,AU,-33.87,121.9,71.6,61.9,17.22,46,12
Ribeira Grande,PT,38.52,-28.7,66.7,59.59,18.9,81,95
New Norfolk,AU,-42.78,147.06,63.5,61.3,1.01,47,39
Bengkulu,ID,-3.8,102.27,86.32,86.97,15.37,65,0
Forsytheganj,BY,52.63,29.73,52.05,45.3,9.1,71,100
Puerto Quijarro,BO,-17.78,-57.77,77.07,79.61,2.73,60,32
San Patricio,MX,19.22,-104.7,80.06,89.19,3.04,87,24
Kahului,US,20.89,-156.47,76.41,72.72,14.99,65,40
Namatanai,PG,-3.67,152.43,82.53,90.05,2.98,73,72
Te Anau,NZ,-45.42,167.72,37.4,31.55,4.16,82,97
Khandyga,RU,62.67,135.6,41.68,36.7,4.09,85,100
São João da Barra,BR,-21.64,-41.05,73.33,79.07,3.85,91,54
Mucurici,BR,-18.09,-40.52,69.42,71.38,7.76,93,6
Daudnagar,IN,25.03,84.4,86.0,96.6,3.62,79,40
Iqaluit,CA,63.75,-68.51,20.19,11.61,5.82,85,20
Bilma,NE,18.69,12.92,86.74,78.13,8.88,14,54
Chabahar,IR,25.29,60.64,84.2,87.93,13.87,79,0
Druzhba,UA,52.04,33.95,55.4,46.94,10.89,55,100
Khonsa,IN,27.02,95.57,77.29,85.39,2.75,89,2
Pevek,RU,69.7,170.31,39.97,30.61,10.09,71,99
Grindavik,IS,63.84,-22.43,39.2,30.06,11.41,93,40
Cardston,CA,49.2,-113.3,64.35,50.7,19.46,37,75
Ust'-Kut,RU,56.79,105.77,47.59,39.83,7.74,57,100
Lubao,PH,14.92,120.55,89.6,96.22,6.93,63,75
Shelburne,CA,44.08,-80.2,57.42,58.51,2.24,100,90
Sambava,MG,-14.27,50.17,76.03,74.35,10.18,62,25
Nynäshamn,SE,58.9,17.95,56.32,54.54,6.35,98,100
Lebu,CL,-37.62,-73.65,46.58,41.77,5.41,85,86
Mackay,AU,-21.15,149.2,78.35,71.29,16.11,47,0
Kichera,RU,55.94,110.1,44.53,37.17,7.56,69,100
Ocampo,MX,21.65,-101.5,55.78,46.6,18.07,91,81
Fernley,US,39.61,-119.25,58.91,52.95,1.01,18,0
Gwadar,PK,25.12,62.33,83.28,88.77,5.26,68,0
Tarauacá,BR,-8.16,-70.77,71.2,77.81,1.83,96,59
Semīrom,IR,31.42,51.57,55.02,48.79,5.1,44,0
Magnolia,US,33.27,-93.24,57.69,55.6,5.82,87,1
Areosa,PT,41.72,-8.86,57.83,58.39,2.24,93,91
Pasni,PK,25.26,63.47,82.27,87.84,5.06,70,0
Bonfim,BR,3.08,-59.95,77.88,82.45,4.83,75,44
Tadine,NC,-21.55,167.88,66.4,60.46,18.7,90,100
Alta Floresta,BR,-9.88,-56.09,76.15,79.79,0.83,62,33
Toora-Khem,RU,52.47,96.11,43.79,38.57,3.22,66,100
Winnemucca,US,40.97,-117.74,57.2,47.73,8.05,24,1
Manta,EC,-0.95,-80.73,71.6,72.23,9.17,83,75
Madimba,TZ,-10.4,40.33,68.0,70.79,3.91,88,20
Alofi,NU,-19.06,-169.92,80.6,84.07,10.29,78,2
Tuatapere,NZ,-46.13,167.68,39.0,23.7,21.0,78,88
Hofn,IS,64.25,-15.21,43.95,39.15,3.67,77,32
Bonga,ET,7.28,36.23,62.87,64.92,1.07,85,52
Vitim,RU,59.45,112.56,43.7,36.09,9.62,87,100
Ilulissat,GL,69.22,-51.1,26.6,13.14,13.87,53,87
Kismayo,SO,-0.36,42.55,79.18,80.85,11.1,75,99
Klaksvík,FO,62.23,-6.59,42.8,39.88,2.24,100,0
Yellowknife,CA,62.46,-114.35,46.2,39.58,8.05,81,40
Soe,ID,-9.86,124.28,86.83,81.73,12.28,35,40
Dvinskoy Bereznik,RU,62.86,42.71,46.02,41.13,5.37,85,0
Saint-Augustin,CA,51.23,-58.65,59.56,56.44,9.78,93,77
Guerrero Negro,MX,27.98,-114.06,74.17,71.8,11.43,66,0
Karoi,ZW,-16.81,29.69,71.69,65.86,11.79,51,67
Sancti Spíritus,CU,21.93,-79.44,73.72,79.7,4.38,93,8
Saint-François,FR,46.42,3.91,46.67,44.19,2.24,93,68
Turukhansk,RU,65.82,87.98,36.03,26.13,10.76,79,3
Nakhon Phanom,TH,17.41,104.78,85.26,92.62,10.29,83,40
Nome,US,64.5,-165.41,42.01,36.68,3.36,70,90
Isangel,VU,-19.55,169.27,80.6,84.7,9.17,78,75
Pisco,PE,-13.7,-76.22,60.89,60.67,3.36,82,20
Lata,PT,40.16,-8.33,58.32,59.09,3.36,100,75
Rio Grande,BR,-32.03,-52.1,44.01,39.45,5.21,96,0
Rivadavia,AR,-33.19,-68.46,57.2,46.22,13.6,41,0
Mount Isa,AU,-20.73,139.5,95.0,85.03,11.41,11,59
Multan,PK,30.2,71.48,84.2,88.75,6.93,66,0
Innisfail,AU,-17.53,146.03,73.99,72.77,8.99,65,40
Vila Velha,BR,-20.33,-40.29,76.06,77.54,11.41,83,0
Sibolga,ID,1.74,98.78,87.51,91.49,5.41,54,76
Cabedelo,BR,-6.98,-34.83,73.4,79.95,3.36,94,20
Airai,TL,-8.93,125.41,79.7,78.49,5.01,43,2
Filingué,NE,14.35,3.32,86.81,86.29,6.89,41,88
Auchi,NG,7.07,6.27,71.92,77.94,4.36,99,100
Havelock,US,34.88,-76.9,73.02,76.73,8.05,94,20
Bambous Virieux,MU,-20.34,57.76,75.58,77.18,9.17,78,75
Saquena,PE,-4.67,-73.52,72.79,80.19,0.72,92,71
Nieuw Amsterdam,SR,5.88,-55.08,79.0,87.4,5.01,92,64
Cabo San Lucas,MX,22.89,-109.91,82.69,91.42,1.01,73,0
Muravlenko,RU,63.79,74.52,39.56,28.74,12.75,73,100
Swan Hill,AU,-35.34,143.55,69.46,61.25,11.36,37,100
Raduzhny,RU,62.1,77.47,39.56,32.07,6.78,72,61
Rūdbār,AF,30.15,62.6,67.75,55.9,15.32,29,24
Tigil',RU,57.8,158.67,49.42,35.78,18.41,55,100
Salmās,IR,38.2,44.77,50.0,45.23,6.93,87,20
Bam,IR,29.11,58.36,75.06,61.03,20.22,26,1
Cidreira,BR,-30.18,-50.21,57.67,54.66,6.76,83,0
Camacha,PT,33.08,-16.33,69.8,64.81,13.87,68,20
Srandakan,ID,-7.94,110.25,86.0,83.26,15.26,52,46
Garoua,CM,9.3,13.4,73.08,80.44,2.21,96,100
Canindé,BR,-4.36,-39.31,74.59,80.28,2.93,84,45
Panzhihua,CN,26.59,101.71,85.39,90.81,2.53,57,16
San Ramon,US,37.78,-121.98,73.71,68.31,3.36,22,1
San Remigio,PH,11.08,123.94,87.33,95.27,2.91,64,41
Valle Hermoso,MX,25.67,-97.83,75.31,68.54,14.99,50,75
Afumaţi,RO,44.52,26.27,62.78,63.1,4.7,88,20
Tombouctou,ML,20.0,-3.0,88.61,83.57,3.91,16,0
Chokurdakh,RU,70.63,147.92,43.18,37.0,4.59,64,65
Nkoteng,CM,4.52,12.03,68.61,73.53,3.11,98,100
Vasai,IN,19.47,72.8,85.1,94.87,1.95,74,75
Yulara,AU,-25.24,130.99,87.8,82.2,12.75,33,32
Ekhabi,RU,53.51,142.97,50.99,41.95,14.81,86,100
Keffi,NG,8.85,7.87,69.8,76.71,1.12,100,75
Rehnān,IR,32.68,51.6,57.2,51.53,4.7,44,0
Morgan City,US,29.7,-91.21,64.6,63.7,8.05,88,1
De-Kastri,RU,51.47,140.78,59.81,52.72,9.6,53,53
Macamic,CA,48.75,-79.0,59.0,58.01,6.93,100,90
Sinnamary,GF,5.38,-52.95,77.52,81.0,10.54,87,7
Ouadda,CF,8.08,22.4,68.09,72.54,3.0,96,96
Port Lincoln,AU,-34.73,135.87,58.08,53.04,11.63,89,100
Santa Cruz de La Palma,ES,28.68,-17.76,71.6,67.69,17.22,83,75
Ajdabiya,LY,30.76,20.23,80.42,75.79,8.1,34,0
Pervoye Maya,RU,56.16,44.72,50.0,43.18,6.71,57,100
Padang,ID,-0.95,100.35,85.84,91.71,5.19,64,93
Sterling,US,39.01,-77.43,71.1,72.77,6.93,83,75
Cuenca,EC,-2.88,-78.98,59.0,57.69,3.36,77,70
Kalanguy,RU,51.02,116.52,50.31,42.4,7.4,47,0
Teluk Nibung,ID,3.0,99.82,83.73,90.7,7.2,78,99
Srednekolymsk,RU,67.45,153.68,52.99,44.31,10.27,53,100
Laguna,US,38.42,-121.42,74.93,72.14,4.61,40,1
Biak,ID,-0.91,122.88,82.09,87.49,6.73,74,47
Zárate,AR,-34.1,-59.03,52.93,50.49,5.55,97,0
Vestmannaeyjar,IS,63.44,-20.27,45.75,34.66,15.5,78,74
Inta,RU,66.03,60.17,44.83,34.95,14.88,95,100
Yuncheng,CN,35.02,110.99,78.51,76.73,6.49,46,47
Upernavik,GL,72.79,-56.15,23.32,14.05,7.58,87,46
Fare,PF,-16.7,-151.02,78.6,75.79,19.95,79,9
Eyl,SO,7.98,49.82,81.57,80.85,15.19,69,79
Galesong,ID,-5.32,119.37,89.6,90.61,11.41,52,20
Labuhan,ID,-6.88,112.21,91.63,92.79,8.05,43,0
Castro,BR,-24.79,-50.01,60.91,61.41,5.14,98,2
Pochutla,MX,15.74,-96.47,77.0,83.8,4.12,87,84
Xalapa,MX,19.53,-96.92,61.79,61.5,5.75,91,100
Tezu,IN,27.92,96.17,90.97,96.22,2.93,48,20
Ţahţā,EG,26.77,31.5,78.71,74.39,5.82,31,0
Jinka,ET,5.65,36.65,68.9,71.11,3.33,79,18
Saskylakh,RU,71.92,114.08,30.06,18.32,13.78,96,100
Amapá,BR,1.0,-52.0,71.06,75.47,3.42,88,9
São Filipe,CV,14.9,-24.5,79.92,82.31,12.28,80,11
Pemangkat,ID,1.17,108.97,82.29,88.09,4.65,70,94
Clyde River,CA,70.47,-68.59,28.4,13.12,19.46,92,90
Arrondissement de Mont-de-Marsan,FR,44.0,-0.67,45.86,43.2,2.24,93,90
Pacific Grove,US,36.62,-121.92,58.05,56.97,3.36,82,1
Bairiki Village,KI,1.33,172.98,86.0,90.59,10.29,70,75
Faanui,PF,-16.48,-151.75,77.65,74.25,20.83,81,4
Glenwood Springs,US,39.55,-107.32,35.6,27.46,3.31,22,1
Vanavara,RU,60.34,102.28,37.51,30.99,4.97,77,100
Xinzhou,CN,38.41,112.73,62.44,61.81,2.13,68,99
Miranda de Ebro,ES,42.69,-2.95,45.52,42.78,2.24,93,20
Hasaki,JP,35.73,140.83,71.26,64.9,14.99,60,75
Karasburg,NA,-28.02,18.75,40.84,32.77,7.47,65,0
Chapayeve,UA,49.37,35.87,55.18,45.82,11.18,47,100
Palauig,PH,15.44,119.9,85.53,92.17,5.75,69,100
Turaif,SA,31.67,38.66,68.0,62.83,9.17,52,0
Sola,VU,-13.88,167.55,84.2,92.46,5.82,79,75
Leningradskiy,RU,69.38,178.42,33.64,25.81,7.05,86,0
Scarborough,GB,54.28,-0.4,51.94,46.2,9.35,86,85
Snezhnogorsk,RU,69.19,33.25,46.4,43.86,2.24,93,75
Borba,BR,-4.39,-59.59,74.68,81.46,1.7,86,23
Samarai,PG,-10.62,150.67,78.49,77.61,18.19,84,98
Sumbawanga,TZ,-7.97,31.62,60.8,60.6,4.21,87,20
Soure,BR,-0.72,-48.52,79.52,82.13,10.8,78,16
Rosário do Sul,BR,-30.26,-54.91,50.59,46.76,4.88,82,0
Nanortalik,GL,60.14,-45.24,35.53,24.22,12.93,76,0
Verkhnevilyuysk,RU,63.45,120.32,40.57,27.88,15.73,66,66
Maniitsoq,GL,65.42,-52.9,30.31,22.57,6.17,87,50
Sosnovo-Ozerskoye,RU,52.52,111.54,45.18,36.84,8.37,59,23
Kolpashevo,RU,58.31,82.91,40.37,29.73,12.28,69,0
Tura,IN,25.52,90.22,88.34,97.77,1.68,65,3
Mayumba,GA,-3.43,10.66,74.93,78.91,4.41,78,94
Souillac,MU,-20.52,57.52,75.2,76.62,9.17,78,75
Mâncio Lima,BR,-7.61,-72.9,71.04,77.95,1.41,97,100
Brae,GB,60.4,-1.35,51.8,44.94,11.41,87,1
Haljala,EE,59.43,26.26,54.27,52.11,5.41,95,100
Vieques,PR,18.43,-65.83,76.24,82.51,4.7,88,40
Vardø,NO,70.37,31.11,50.0,47.25,3.36,87,75
Chapais,CA,49.78,-74.85,60.8,57.83,10.29,93,90
Avera,US,33.19,-82.53,71.4,75.58,6.04,95,90
Rocha,UY,-34.48,-54.33,47.88,43.05,4.74,75,0
Janakpur Dham,NP,26.72,85.91,88.43,96.26,3.65,63,0
Tamandaré,BR,-8.76,-35.1,74.62,76.91,8.08,81,40
Coxim,BR,-18.51,-54.76,83.37,83.89,3.91,43,59
Revelstoke,CA,50.98,-118.2,48.2,46.72,1.92,100,1
Sorong,ID,-0.88,131.25,83.62,88.77,7.02,70,47
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,51.8,43.12,11.18,62,75
Lompoc,US,34.64,-120.46,59.7,61.32,1.45,93,90
Goundam,ML,16.41,-3.67,88.29,87.51,5.37,35,12
Kudahuvadhoo,MV,2.67,72.89,82.87,87.55,8.37,73,84
Sur,OM,22.57,59.53,90.55,93.76,3.15,42,0
Talnakh,RU,69.49,88.4,30.2,17.55,15.66,100,90
Tual,ID,-5.67,132.75,80.38,82.89,13.29,82,65
Broken Hill,AU,-31.95,141.43,71.6,61.45,12.75,27,40
Paita,PE,-5.09,-81.11,60.67,57.58,9.1,86,40
Deputatsky,RU,69.3,139.9,41.09,35.24,4.61,76,81
Gushikawa,JP,26.35,127.87,82.27,83.14,11.41,65,20
Tortolì,IT,39.93,9.66,64.4,59.88,8.05,59,5
Kondinskoye,RU,59.65,67.41,42.78,37.42,3.13,65,93
San Cristobal,VE,7.77,-72.22,65.21,67.6,1.72,84,67
Kralendijk,BQ,12.15,-68.27,84.2,87.3,14.99,79,79
Beloha,MG,-25.17,45.05,75.87,77.16,5.44,64,33
Karasjok,NO,69.47,25.51,51.8,41.83,16.11,81,75
Launceston,AU,-41.45,147.17,58.46,48.16,14.99,54,75
Ostrovnoy,RU,68.05,39.51,50.25,38.8,18.23,82,41
Manokwari,ID,-0.87,134.08,83.59,89.64,4.54,68,95
Kogon,UZ,39.72,64.55,53.6,46.65,6.93,50,68
Koumac,NC,-20.57,164.28,68.63,62.92,17.69,81,100
Port Keats,AU,-14.25,129.55,88.84,89.8,10.4,51,96
Türkan,AZ,40.36,50.22,60.8,59.13,2.24,63,68
Flinders,AU,-34.58,150.86,66.42,64.18,4.0,55,26
La Asuncion,VE,11.03,-63.86,80.6,88.07,6.93,88,100
Wanxian,CN,30.8,108.39,68.13,70.59,1.86,77,100
Puro,PH,12.48,123.38,86.45,93.15,6.53,69,54
Luanda,AO,-8.84,13.23,71.6,75.85,5.82,94,40
Gannan,CN,47.91,123.5,59.16,51.64,7.96,41,0
Korla,CN,41.76,86.15,68.9,62.8,3.89,23,41
Beringovskiy,RU,63.05,179.32,41.77,38.19,0.76,76,2
Cartersville,US,34.17,-84.8,62.51,61.48,6.93,88,90
Pucallpa,PE,-8.38,-74.55,70.12,75.72,2.93,97,100
Haines Junction,CA,60.75,-137.51,38.86,32.16,5.77,79,40
Baoning,CN,25.34,110.03,77.0,83.17,2.24,78,90
Thinadhoo,MV,0.53,72.93,83.71,88.5,7.72,70,92
Santa Vitória,BR,-18.84,-50.12,80.33,77.67,4.97,35,13
Nālūt,LY,30.33,10.85,70.63,63.57,13.73,52,45
Kuytun,RU,54.34,101.5,50.76,47.77,0.63,61,75
Vao,NC,-22.67,167.48,67.53,59.81,19.82,78,98
La Ronge,CA,55.1,-105.28,51.8,44.33,10.29,71,20
Soyo,AO,-6.13,12.37,73.54,76.51,6.29,82,97
Villa Carlos Paz,AR,-31.42,-64.5,59.95,50.07,12.75,43,0
Yerbogachën,RU,61.28,108.01,38.34,29.91,7.9,69,93
Lakota,CI,5.85,-5.69,69.93,76.12,2.24,99,81
Laas,IT,46.62,10.7,39.2,33.84,4.7,93,5
Hamilton,US,39.18,-84.53,53.82,51.76,4.7,93,1
Rancho Palos Verdes,US,33.74,-118.39,67.06,72.18,1.01,96,0
Nantucket,US,41.28,-70.1,66.99,67.14,10.0,97,64
Cururupu,BR,-1.83,-44.87,75.34,81.52,4.0,88,8
Amurzet,RU,47.7,131.1,59.9,53.91,6.93,49,21
Mopipi,BW,-21.18,24.88,67.37,62.82,12.39,71,95
Barth,DE,54.36,12.72,45.48,42.12,3.36,93,29
Dunedin,NZ,-45.87,170.5,40.24,31.5,8.01,59,100
Dābhol,IN,17.6,73.17,83.64,92.53,0.78,71,1
Abu Kamal,SY,34.45,40.92,80.04,74.52,10.27,36,0
Saint-Joseph,RE,-21.37,55.62,75.2,77.54,4.7,69,21
Mayo,US,38.89,-76.51,70.3,72.93,9.17,100,90
Goderich,CA,43.75,-81.72,58.68,50.2,17.72,87,95
Karratha,AU,-20.74,116.85,88.74,80.02,11.45,18,37
Henties Bay,NA,-22.12,14.28,50.0,48.81,1.23,92,0
Santa Barbara,US,34.42,-119.7,66.85,62.28,1.01,24,0
Burnie,AU,-41.07,145.92,54.37,47.97,8.01,62,100
Carnarvon,AU,-24.87,113.63,73.4,63.21,23.04,60,0
Acapulco de Juárez,MX,16.86,-99.89,79.79,83.98,9.35,81,100
Būlaevo,KZ,54.91,70.44,45.48,35.44,11.81,62,44
Campbell River,CA,50.02,-125.24,51.8,51.12,2.24,100,20
Jerantut,MY,3.94,102.36,90.09,95.38,3.69,51,100
Malbork,PL,54.04,19.03,46.99,42.6,6.58,100,85
Rafrāf,TN,37.19,10.18,59.0,58.19,3.36,82,40
San Ignacio,BZ,17.16,-89.07,79.0,86.14,2.64,79,97
Zhigansk,RU,66.77,123.37,37.17,24.17,17.81,95,100
Itaporanga,BR,-7.3,-38.15,71.51,74.08,5.1,81,17
Maamba,ZM,-17.37,27.15,81.03,76.03,9.04,34,68
Shahrud,IR,36.42,54.98,55.49,48.88,5.12,39,5
Kiama,AU,-34.68,150.87,65.03,57.76,13.0,58,29
Coyhaique,CL,-45.58,-72.07,39.2,35.22,2.24,93,20
Abu Dhabi,AE,24.47,54.37,84.43,91.31,4.7,70,0
Salalah,OM,17.02,54.09,78.8,84.7,1.12,69,15
Aklavik,CA,68.22,-135.01,35.6,30.7,3.36,100,90
Makakilo City,US,21.35,-158.09,82.63,84.29,10.29,65,1
Angarsk,RU,52.54,103.89,51.8,48.47,2.24,66,5
Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,81.37,87.1,9.35,84,100
Bumba,CD,2.18,22.47,69.8,75.74,1.28,94,99
